date,pv
2004-01-08,6552469.696284019
2004-01-09,6542525.078195006
2004-01-12,6508604.833978652
2004-01-13,6492655.539647135
2004-01-14,6599586.501647979
2004-01-15,6491033.004645258
2004-01-16,6346487.851549668
2004-01-19,6466683.29262209
2004-01-20,6388757.872581176
2004-01-21,6166672.749939565
2004-01-22,6012831.98517844
2004-01-23,6212321.340963043
2004-01-26,6212321.340963043
2004-01-27,6268519.171464495
2004-01-28,6220442.228735082
2004-01-29,6198910.32458058
2004-01-30,6113384.152324342
2004-02-02,6113384.152324342
2004-02-03,6070657.977487595
2004-02-04,6102541.216556837
2004-02-05,6088333.144695774
2004-02-06,6148167.751006598
2004-02-09,6207319.273842516
2004-02-10,6198821.6689381935
2004-02-11,6200489.666202226
2004-02-12,6213553.304761873
2004-02-13,6215148.606078622
2004-02-16,6256488.501527179
2004-02-17,6287374.483847351
2004-02-18,6283181.727002877
2004-02-19,6217861.108942778
2004-02-20,6211599.101604828
2004-02-23,6168753.691481982
2004-02-24,6157035.223808827
2004-02-25,6098676.055359644
2004-02-26,6088706.155652716
2004-02-27,6142151.389761243
2004-03-01,6210950.5504078055
2004-03-02,6210950.5504078055
2004-03-03,6230964.852019093
2004-03-04,6191849.32486026
2004-03-05,6246415.194470452
2004-03-08,6247928.723492317
2004-03-09,6240945.911528593
2004-03-10,6214103.451569502
2004-03-11,6170459.273011439
2004-03-12,6182617.6729825875
2004-03-15,6121718.7571784295
2004-03-16,6104399.99456329
2004-03-17,6120080.164351463
2004-03-18,6080840.775024434
2004-03-19,6096897.096340618
2004-03-22,6046116.549155412
2004-03-23,6046643.364611853
2004-03-24,6045998.7984599685
2004-03-25,6064513.616237957
2004-03-26,6095696.167213226
2004-03-29,6121061.066497426
2004-03-30,6117212.460074705
2004-03-31,6127596.708522808
2004-04-01,6161263.149907748
2004-04-02,6151346.304457983
2004-04-05,6179226.463441514
2004-04-06,6166529.081133497
2004-04-07,6177565.167789819
2004-04-08,6201547.3725944245
2004-04-09,6194981.064929245
2004-04-12,6202226.512216977
2004-04-13,6249526.027698341
2004-04-14,6249526.027698341
2004-04-15,6256392.473400336
2004-04-16,6260771.089088389
2004-04-19,6234338.788048576
2004-04-20,6241215.2179950485
2004-04-21,6282884.27113356
2004-04-22,6298942.962497167
2004-04-23,6288065.567753544
2004-04-26,5203592.281381995
2004-04-27,6189311.110538895
2004-04-28,6188410.12245289
2004-04-29,6178299.360613494
2004-04-30,6198764.98531168
2004-05-03,6164886.055156231
2004-05-04,6208532.791473675
2004-05-05,6191418.2529359795
2004-05-06,6192351.168960689
2004-05-07,6179380.585320873
2004-05-10,6151166.521459372
2004-05-11,6067320.286061952
2004-05-12,6087137.0119277425
2004-05-13,6067850.532958203
2004-05-14,5871613.66455821
2004-05-17,5825819.512004398
2004-05-18,5854318.118567431
2004-05-19,5853537.476442823
2004-05-20,5855195.148333688
2004-05-21,5856842.824341082
2004-05-24,5890394.1414353205
2004-05-25,5887878.329609873
2004-05-26,5892107.482427302
2004-05-27,5886290.390360658
2004-05-28,5855897.5264273565
2004-05-31,5858558.974313521
2004-06-01,5864425.9004244935
2004-06-02,5869511.996152465
2004-06-03,5854551.448765194
2004-06-04,5858555.978756557
2004-06-07,5865889.925974942
2004-06-08,5863523.766214615
2004-06-09,5863377.663066519
2004-06-10,5870511.75328454
2004-06-11,5856028.969180758
2004-06-14,5838856.019972132
2004-06-15,5845377.222927242
2004-06-16,5848478.533370862
2004-06-17,5853882.338530889
2004-06-18,5853446.067751423
2004-06-21,5852348.696247993
2004-06-22,5853952.345377107
2004-06-23,5851104.686826483
2004-06-24,5860713.654906242
2004-06-25,5870197.443180783
2004-06-28,5879822.517719038
2004-06-29,5879599.780596629
2004-06-30,5871770.44218318
2004-07-01,5882263.646066152
2004-07-02,5880372.36090049
2004-07-05,5875316.072978334
2004-07-06,5877980.262776154
2004-07-07,5861209.869841346
2004-07-08,5855742.350847564
2004-07-09,5866400.617841248
2004-07-12,5867273.22201738
2004-07-13,5873239.393015316
2004-07-14,5888145.016068894
2004-07-15,5899324.581887348
2004-07-16,5911288.171743697
2004-07-19,5913432.172240396
2004-07-20,5903569.117469565
2004-07-21,5906388.45316465
2004-07-22,5913314.040661923
2004-07-23,5933938.047548103
2004-07-26,5938538.112658756
2004-07-27,5928249.510684241
2004-07-28,5944733.421169648
2004-07-29,5950718.101103719
2004-07-30,5961256.373092186
2004-08-02,5960377.572652762
2004-08-03,5962693.699898858
2004-08-04,5954662.541498772
2004-08-05,5968608.394700059
2004-08-06,5963116.763384559
2004-08-09,5965084.538880252
2004-08-10,5967684.91650135
2004-08-11,5967065.212117376
2004-08-12,5962668.262686732
2004-08-13,5956626.063080511
2004-08-16,6666959.380423089
2004-08-17,6685965.484544549
2004-08-18,6686782.84870912
2004-08-19,6703299.751946509
2004-08-20,6692605.648431806
2004-08-23,6692329.068250743
2004-08-24,6737239.857684179
2004-08-25,6714418.555610625
2004-08-26,6740764.563532426
2004-08-27,6753716.8523472315
2004-08-30,6750514.987230929
2004-08-31,6731420.03600722
2004-09-01,6733616.891282361
2004-09-02,6723365.221103598
2004-09-03,6738216.671422569
2004-09-06,6786109.597978201
2004-09-07,6849266.018442579
2004-09-08,6946592.9020016305
2004-09-09,6889693.442017744
2004-09-10,6934520.033395422
2004-09-13,6964596.972600318
2004-09-14,6941462.435129537
2004-09-15,7003220.921869408
2004-09-16,7019707.127132084
2004-09-17,7021021.88970578
2004-09-20,6975497.103591731
2004-09-21,6985831.401715018
2004-09-22,7000786.837477168
2004-09-23,6961451.040387587
2004-09-24,6925437.391511435
2004-09-27,6954569.1183803845
2004-09-28,6933241.228056231
2004-09-29,6973406.913654523
2004-09-30,6969065.210689392
2004-10-01,6960653.445657886
2004-10-04,7008433.134534288
2004-10-05,6996959.02517765
2004-10-06,6966001.293303318
2004-10-07,6970533.614035254
2004-10-08,6957570.906788482
2004-10-11,6967358.146378363
2004-10-12,6945667.197077096
2004-10-13,5346879.579621842
2004-10-14,6947228.7767380485
2004-10-15,6988290.402667489
2004-10-18,6975456.450322824
2004-10-19,6989632.47675346
2004-10-20,6990819.194970924
2004-10-21,6983457.527692469
2004-10-22,6983456.6060684705
2004-10-25,6979699.970698939
2004-10-26,6982504.229620107
2004-10-27,6989571.0108036185
2004-10-28,7020933.229864013
2004-10-29,7015001.047891614
2004-11-01,7041315.5797230415
2004-11-02,7052592.3947302075
2004-11-03,7074814.658673122
2004-11-04,7059021.40404408
2004-11-05,7061133.70324123
